N       ;Lambda 128MB;Lambda 512MB;Lambda 1024MB
0;855;142;141
5000;141;146;145
10000;138;174;156
15000;141;223;183
20000;149;180;188
25000;160;198;168
30000;205;193;187
35000;176;236;167
40000;173;152;192
45000;175;143;179
50000;204;233;143
55000;233;144;180
60000;222;153;190
65000;276;145;236
70000;248;151;204
75000;221;158;164
80000;239;155;152
85000;223;146;150
90000;263;155;152
95000;242;154;152
100000;243;160;150
105000;250;153;151
110000;290;153;153
115000;265;152;151
120000;267;176;150
125000;297;154;154
130000;292;174;155
135000;381;163;154
140000;354;173;173
145000;321;173;164
150000;351;175;159
155000;368;190;169
160000;352;192;165
165000;375;172;165
170000;383;178;160
175000;392;193;165
180000;408;191;155
185000;461;194;169
190000;425;193;188
195000;422;193;167
200000;431;220;213
205000;475;190;167
210000;492;198;163
215000;447;333;174
220000;520;201;167
225000;516;201;163
230000;471;197;169
235000;467;212;168
240000;541;215;169
245000;509;215;183
250000;497;231;185
255000;687;218;190
260000;564;235;174
265000;563;256;170
270000;575;225;174
275000;546;232;175
280000;587;253;187
285000;587;233;186
290000;947;251;186
295000;625;232;187
300000;632;235;207
305000;626;234;186
310000;620;237;188
315000;626;234;191
320000;672;237;185
325000;705;285;178
330000;691;253;189
335000;661;256;186
340000;704;254;192
345000;680;257;188
350000;710;256;190
355000;740;255;191
360000;709;268;193
365000;742;286;220
370000;707;269;197
375000;761;275;204
380000;792;276;203
385000;758;289;206
390000;774;279;200
395000;749;293;211
400000;770;291;205
405000;822;294;207
410000;795;321;219
415000;888;303;212
420000;863;291;256
425000;825;311;208
430000;871;295;210
435000;878;314;210
440000;867;298;211
445000;904;296;209
450000;892;308;217
455000;896;299;209
460000;964;316;215
465000;931;315;212
470000;922;313;219
475000;961;315;224
480000;967;333;217
485000;962;333;217
490000;909;326;219
495000;954;331;226
500000;983;346;217
505000;970;329;226
510000;1012;331;229
515000;1020;343;230
520000;1031;344;227
525000;1041;336;231
530000;2461;354;230
535000;1204;336;225
540000;1028;354;230
545000;1196;366;233
550000;1044;349;351
555000;1080;356;229
560000;1102;355;231
565000;1090;367;235
570000;1126;376;232
575000;1158;356;234
580000;1119;360;231
585000;1154;400;252
590000;1170;375;233
595000;1180;374;243
600000;1124;369;237
605000;1270;470;306
610000;1165;374;250
615000;1200;392;241
620000;1190;390;251
625000;1293;415;245
630000;1242;398;263
635000;1372;396;247
640000;1225;395;245
645000;1255;391;250
650000;1273;417;247
655000;1288;396;249
660000;1268;412;252
665000;1286;393;249
670000;1302;412;254
675000;1363;442;250
680000;1316;410;253
685000;1303;414;251
690000;1407;413;257
695000;1361;427;257
700000;1325;429;255
705000;1362;468;258
710000;1376;449;269
715000;1393;431;257
720000;1400;428;257
725000;1400;432;265
730000;1403;471;259
735000;1437;470;267
740000;1460;474;266
745000;1429;469;268
750000;1447;472;273
755000;1496;472;269
760000;1476;495;274
765000;1473;472;272
770000;1517;476;272
775000;1523;488;276
780000;1589;479;267
785000;1512;493;271
790000;1599;489;275
795000;1508;515;270
800000;1531;489;282
805000;1557;493;274
810000;1558;509;277
815000;1595;515;272
820000;1723;511;287
825000;1723;513;289
830000;1729;512;284
835000;1728;513;290
840000;1754;510;286
845000;1747;532;291
850000;1744;525;286
855000;1953;539;291
860000;1785;514;286
865000;1811;514;286
870000;1827;533;286
875000;1828;531;290
880000;1815;533;291
885000;1838;535;290
890000;1856;531;292
895000;1870;534;291
900000;1847;548;294
905000;1887;552;298
910000;1868;549;296
915000;1904;557;308
920000;1888;552;375
925000;1917;550;297
930000;1900;552;296
935000;1895;572;304
940000;1996;570;300
945000;1997;569;310
950000;2347;572;390
955000;2018;573;313
960000;1962;575;306
965000;1988;576;313
970000;2025;592;312
975000;2051;584;316
980000;2027;584;315
985000;2037;607;315
990000;2125;588;313
995000;2063;594;326
1000000;2064;615;318
